shipment_id,ship_date,origin,destination,carrier,units,cost_usd,promised_days,actual_days,damaged
S1001,2026-04-01,Chicago,Indianapolis,RoadRunner,180,940,2,2,false
S1002,2026-04-01,Chicago,Atlanta,RoadRunner,140,1320,3,5,false
S1003,2026-04-02,Columbus,Indianapolis,BlueLine,220,880,2,3,false
S1004,2026-04-03,Chicago,Atlanta,BlueLine,120,1410,3,6,true
S1005,2026-04-04,Detroit,Indianapolis,RoadRunner,260,790,2,2,false
S1006,2026-04-05,Detroit,Atlanta,SwiftPath,110,1510,3,4,false
S1007,2026-04-06,Columbus,Atlanta,SwiftPath,95,1280,3,3,false
S1008,2026-04-07,Chicago,Indianapolis,BlueLine,210,970,2,2,false
S1009,2026-04-08,Detroit,Atlanta,RoadRunner,100,1600,3,6,true
S1010,2026-04-09,Columbus,Indianapolis,RoadRunner,240,900,2,2,false
S1011,2026-04-10,Chicago,Atlanta,SwiftPath,130,1375,3,4,false
S1012,2026-04-11,Detroit,Indianapolis,BlueLine,250,820,2,3,false

